"ID","DESCRIZIONE","ORDINAMENTO","DATAINIZIOVALIDITA","DATAFINEVALIDITA"
"24","Totale maschi","0","01-01-1900","31-12-9999"
"34","Totale femmine","0","01-01-1900","31-12-9999"
"15","Stranieri residenti al 31 dicembre","0","01-01-1900","31-12-9999"
"25","Totale maschi ","0","01-01-1900","31-12-9999"
"35","Totale femmine ","0","01-01-1900","31-12-9999"
"11","Popolazione residente al 1 del mese","0","01-01-1900","31-12-9999"
"21","Nati vivi stesso comune","0","01-01-1900","31-12-9999"
"31","Nati vivi altro comune","0","01-01-1900","31-12-9999"
"41","Nati vivi estero","0","01-01-1900","31-12-9999"
"51","Totale nati vivi","0","01-01-1900","31-12-9999"
"61","Deceduti stesso comune","0","01-01-1900","31-12-9999"
"71","Deceduti altro comune","0","01-01-1900","31-12-9999"
"81","Deceduti  all'estero","0","01-01-1900","31-12-9999"
"91","Totale deceduti","0","01-01-1900","31-12-9999"
"101","Differenza tra nati e morti","0","01-01-1900","31-12-9999"
"111","Iscritti  da altri comuni","0","01-01-1900","31-12-9999"
"121","Iscritti dall'estero","0","01-01-1900","31-12-9999"
"131","Iscritti altri motivi","0","01-01-1900","31-12-9999"
"141","Totale iscritti","0","01-01-1900","31-12-9999"
"151","Cancellati per trasferimento  in altri comuni","0","01-01-1900","31-12-9999"
"161","Cancellati per trasferimento all'estero","0","01-01-1900","31-12-9999"
"171","Cancellati per altri motivi","0","01-01-1900","31-12-9999"
